#Command: ./FaaSterConfig.py ../openFaas/s3.yml -d {"input_bucket": "inputbucketbenchmark","object_key": "amzn_fine_food_reviews/reviews100mb.csv","output_bucket":"outputbucketbenchmark"} -c 0.1 0.9 1.7 -m 256.0 2304.0 -to 240 -con 5Function: s3du
#Function argument(s): {"input_bucket": "inputbucketbenchmark","object_key": "amzn_fine_food_reviews/reviews100mb.csv","output_bucket":"outputbucketbenchmark"}
#Experiment cost: $0.1787003960531111
#Total time 337.799546, tradeoff: $0.5, timeout: $240.0, concurrency: 5
#Recommendation: CPU :1.7000000476837158, Mem: 256.0, NodeType: c7g.large which had a final time of: 2.8320s and expected cost of $0.00003244, with a combined z of -1.284
#Failures: 45.83%
#CPU: [0.1, 0.9, 1.7]
#Mem: [256.0, 2304.0]
#NodeType: ['m5.large', 'c5.large', 'r5.large', 'c7g.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.7,256.0,c7g.large,2.83204,3.243755274857208e-05,0.041233594827353955,3.474508,-1.2835746890256874
1.7,256.0,c5.large,2.906395,3.913667848567323e-05,0.0484765637665987,3.463068,-0.9529994371668731
1.7,256.0,m5.large,3.172784,4.6600266260751085e-05,0.05287500143051147,7.064925,-0.434383441827551
1.7,2304.0,c7g.large,2.954963,5.2390956209186746e-05,0.06382734482735394,3.514382,-0.37965611272226324
1.7,256.0,r5.large,2.868664,5.431972313674987e-05,0.06816797062754631,4.629591,-0.3726856349558936
0.9,256.0,c5.large,4.090322,3.0934834718812976e-05,0.02722656186670065,3.50645,-0.31359812803982035
1.7,2304.0,m5.large,2.975308,5.609695409894785e-05,0.06787500143051148,3.524124,-0.21380470343403596
1.7,2304.0,c5.large,2.887972,6.019742085115322e-05,0.0750390637665987,3.516136,-0.1202588178651054
0.9,2304.0,c7g.large,4.136513,5.257087846502762e-05,0.04575234321132302,3.469312,0.5952176692227918
0.9,2304.0,r5.large,4.192407,5.416556981494781e-05,0.046511717811226844,3.505652,0.7051884966476449
0.9,2304.0,m5.large,4.349235,5.300630069838465e-05,0.04387499928474427,2.486986,0.7869549231854989
0.9,2304.0,c5.large,4.028034,6.018449167421491e-05,0.05378906186670065,4.590961,0.8128748619971171
1.7,2304.0,r5.large,3.594519,7.789294778289089e-05,0.07801172062754631,3.486787,1.1707250139841736
0.1,256.0,m5.large,,,0.004875000044703483,,
0.9,256.0,m5.large,,,0.02887499928474426,,
0.1,2304.0,m5.large,,,0.019875000044703484,,
0.1,256.0,c5.large,,,0.005976562539581209,,
0.1,2304.0,c5.large,,,0.03253906253958121,,
0.1,256.0,r5.large,,,0.005167968808673322,,
0.9,256.0,r5.large,,,0.036667967811226845,,
0.1,2304.0,r5.large,,,0.015011718808673323,,
0.1,256.0,c7g.large,,,0.005083593783667311,4.616091,
0.9,256.0,c7g.large,,,0.023158593211323023,,
0.1,2304.0,c7g.large,,,0.027677343783667308,,
