#Command: ./FaaSterConfig2.py ../openFaas/s3.yml -d {"input_bucket": "inputbucketbenchmark","object_key": "amzn_fine_food_reviews/reviews100mb.csv","output_bucket":"outputbucketbenchmark"} -c 0.1 0.2 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2 1.3 1.4 1.5 1.6 1.7 -m 256.0 512.0 768.0 1024.0 -to 120 -con 1 -hy 53Function: s3du
#Function argument(s): {"input_bucket": "inputbucketbenchmark","object_key": "amzn_fine_food_reviews/reviews100mb.csv","output_bucket":"outputbucketbenchmark"}
#Experiment cost: $0.3252491225576667
#Total time 664.027233, tradeoff: $0.5, timeout: $120.0, concurrency: 1
#Recommendation: CPU :1.100000023841858, Mem: 256.0, NodeType: c7g.large which had a final time of: 3.6145s and expected cost of $0.00002779, with a combined z of -0.924
#Failures: 16.98%
#Skips: 219
#CPU: [0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0, 1.1, 1.2, 1.3, 1.4, 1.5, 1.6, 1.7]
#Mem: [256.0, 512.0, 768.0, 1024.0]
#NodeType: ['c5.large', 'r5.large', 'c7g.large', 'm5.large']
CPU,Mem,NodeTypeStr,time,cost,costPerHour,startupTime,timeAndCost
1.1,256.0,c7g.large,3.614463,2.7788538019356733e-05,0.027677344288676974,3.779615,-0.9235335244357448
1.3,256.0,c7g.large,3.234673,2.8928842131585e-05,0.032196092672646046,4.997054,-0.9088124691710264
0.9,256.0,c7g.large,4.177638,2.687450528504586e-05,0.023158593211323023,2.601922,-0.8988603605154077
1.0,256.0,c7g.large,3.90483,2.757023525390625e-05,0.02541796875,2.571756,-0.8956704352100711
1.4,256.0,c7g.large,3.100797,2.9677614573129387e-05,0.034455468211323025,2.576203,-0.882863596593551
1.2,512.0,c7g.large,3.349091,3.0477601261380256e-05,0.03276093857735395,2.573113,-0.7999782589692128
0.8,256.0,c7g.large,4.729246,2.745487443064735e-05,0.020899219019338486,4.944966,-0.7863656180500741
1.1,512.0,c7g.large,3.57329,3.027525838624279e-05,0.030501563038676974,2.5741,-0.7804869157696392
1.5,256.0,c7g.large,3.170664,3.2336231484375e-05,0.036714843750000004,3.822949,-0.7138753313026424
0.9,512.0,c7g.large,4.209285,3.038029462406044e-05,0.025982811961323023,2.636273,-0.6845494673649253
0.7,256.0,c7g.large,5.402405,2.7972217671984206e-05,0.01863984348066151,2.569221,-0.6605095963060266
1.2,256.0,c5.large,3.446697,3.369655065927623e-05,0.0351953137665987,2.523213,-0.5935394478045337
1.7,768.0,c7g.large,2.850015,3.7115137600956575e-05,0.046882032327353954,2.673614,-0.4730178998632216
1.0,512.0,c5.large,3.786765,3.4925675455729165e-05,0.033203125,2.58547,-0.47203020544902097
0.7,512.0,c7g.large,5.293358,3.156026820032498e-05,0.02146406223066151,4.933982,-0.46110700166361807
1.3,256.0,m5.large,3.235746,3.673919808923006e-05,0.04087499856948853,4.981757,-0.4411480901431514
1.2,512.0,m5.large,3.419666,3.775881344218651e-05,0.03975000143051147,2.537016,-0.35419038795352753
1.1,768.0,m5.large,3.58246,3.843681112843752e-05,0.038625000715255736,2.584991,-0.2906592045449263
0.5,256.0,c7g.large,7.606421,2.9836384456380204e-05,0.014121093749999999,4.924316,-0.23824488619080686
1.4,512.0,c5.large,3.354714,4.084189511297549e-05,0.043828124366700645,2.557463,-0.17879862001395724
0.8,768.0,m5.large,4.646131,3.823378681571831e-05,0.02962500035762787,2.575129,-0.1528762517610369
1.6,256.0,m5.large,3.103997,4.300329238754213e-05,0.04987500071525574,3.914469,-0.08476266464103349
0.5,256.0,c5.large,7.243518,3.3403810221354166e-05,0.0166015625,4.93574,-0.0758605214469788
0.4,256.0,c7g.large,8.972532,2.956379229658308e-05,0.011861718884669243,2.579592,-0.061994037205547414
1.6,1024.0,c5.large,2.931175,4.541794647918367e-05,0.05578125063329935,4.993395,0.035412883305726284
0.5,512.0,c7g.large,7.447115,3.5053803027343756e-05,0.0169453125,4.966182,0.05160406214939536
0.7,1024.0,m5.large,5.225194,4.136611864759027e-05,0.02849999964237213,2.684881,0.11624421886176695
1.2,256.0,m5.large,4.273057,4.4956122218793626e-05,0.03787500143051147,2.549835,0.19692132468964346
0.8,1024.0,c7g.large,5.236889,4.272701402982521e-05,0.029371875269338488,2.56242,0.1993533744101163
0.8,256.0,r5.large,4.829499,4.390882454571063e-05,0.032730469219386576,2.58861,0.21266841444997597
1.1,768.0,r5.large,3.613251,4.7176920737150494e-05,0.047003907188773154,4.969874,0.23684753306233114
1.2,768.0,r5.large,3.455043,4.889020987811722e-05,0.050941408127546314,4.908429,0.3171006990828243
0.6,1024.0,c7g.large,6.179522,4.266123223194895e-05,0.024853125538676975,2.549742,0.3282898265277594
0.4,512.0,c7g.large,9.127945,3.723678638963638e-05,0.014685937634669244,2.53373,0.4192039652590762
0.6,768.0,c5.large,6.202727,4.4622483740901523e-05,0.02589843813329935,3.73718,0.4489576192330386
0.7,1024.0,c5.large,5.305858,4.6978950574972716e-05,0.03187499968335032,2.531318,0.4635881554762349
1.0,1024.0,r5.large,4.137406,5.0909487890625005e-05,0.044296875,2.603038,0.5341570946896154
1.3,256.0,r5.large,3.633551,5.290648776315861e-05,0.05241796687245369,4.955888,0.5826700717129413
1.7,512.0,r5.large,2.897368,5.585356041734517e-05,0.0693984393775463,2.580023,0.6553035348761584
0.3,256.0,c7g.large,12.651761,3.3746267103458314e-05,0.009602344019338488,2.568678,0.7069869774389711
0.6,512.0,r5.large,6.970043,5.0505586837111604e-05,0.026085938438773156,2.626584,0.9092702909833021
0.3,768.0,c7g.large,11.975004,5.073004713811235e-05,0.015250781519338489,4.938388,1.6282079024206544
0.2,512.0,m5.large,17.496369,4.738599980952703e-05,0.009750000089406966,3.825581,2.206333969606777
0.2,512.0,c7g.large,18.26057,5.157184452123433e-05,0.010167187567334621,4.97733,2.5646128741333833
0.1,256.0,c5.large,,,0.005976562539581209,,
0.2,256.0,c5.large,,,0.008632812579162418,,
0.3,256.0,c5.large,,,0.011289062816649676,,
0.4,256.0,c5.large,,,0.013945312658324837,,
0.6,256.0,c5.large,,,0.01925781313329935,,
0.7,256.0,c5.large,,,0.021914062183350323,,
0.8,256.0,c5.large,,,0.024570312816649672,,
0.9,256.0,c5.large,,,0.02722656186670065,,
1.0,256.0,c5.large,,,0.029882812499999998,,
1.1,256.0,c5.large,,,0.03253906313329935,,
1.3,256.0,c5.large,,,0.0378515612334013,,
1.4,256.0,c5.large,,,0.040507811866700646,,
1.5,256.0,c5.large,,,0.043164062499999996,,
1.6,256.0,c5.large,,,0.045820313133299345,,
1.7,256.0,c5.large,,,0.0484765637665987,,
0.1,512.0,c5.large,,,0.00929687503958121,,
0.2,512.0,c5.large,,,0.011953125079162418,,
0.3,512.0,c5.large,,,0.014609375316649676,,
0.4,512.0,c5.large,,,0.017265625158324836,,
0.5,512.0,c5.large,,,0.019921875,,
0.6,512.0,c5.large,,,0.02257812563329935,,
0.7,512.0,c5.large,,,0.025234374683350325,,
0.8,512.0,c5.large,,,0.027890625316649674,,
0.9,512.0,c5.large,,,0.03054687436670065,,
1.1,512.0,c5.large,,,0.03585937563329935,,
1.2,512.0,c5.large,,,0.0385156262665987,,
1.3,512.0,c5.large,,,0.041171873733401296,,
1.5,512.0,c5.large,,,0.046484374999999994,,
1.6,512.0,c5.large,,,0.049140625633299344,,
1.7,512.0,c5.large,,,0.0517968762665987,,
0.1,768.0,c5.large,,,0.012617187539581208,,
0.2,768.0,c5.large,,,0.015273437579162417,,
0.3,768.0,c5.large,,,0.017929687816649675,,
0.4,768.0,c5.large,,,0.020585937658324838,,
0.5,768.0,c5.large,,,0.023242187499999997,,
0.7,768.0,c5.large,,,0.028554687183350323,,
0.8,768.0,c5.large,,,0.031210937816649673,,
0.9,768.0,c5.large,,,0.03386718686670065,,
1.0,768.0,c5.large,,,0.0365234375,,
1.1,768.0,c5.large,,,0.03917968813329935,,
1.2,768.0,c5.large,,,0.041835938766598704,,
1.3,768.0,c5.large,,,0.0444921862334013,,
1.4,768.0,c5.large,,,0.047148436866700644,,
1.5,768.0,c5.large,,,0.0498046875,,
1.6,768.0,c5.large,,,0.05246093813329934,,
1.7,768.0,c5.large,,,0.0551171887665987,,
0.1,1024.0,c5.large,,,0.01593750003958121,,
0.2,1024.0,c5.large,,,0.01859375007916242,,
0.3,1024.0,c5.large,,,0.021250000316649677,,
0.4,1024.0,c5.large,,,0.023906250158324836,,
0.5,1024.0,c5.large,,,0.0265625,,
0.6,1024.0,c5.large,,,0.029218750633299352,,
0.8,1024.0,c5.large,,,0.03453125031664967,,
0.9,1024.0,c5.large,,,0.03718749936670065,,
1.0,1024.0,c5.large,,,0.03984375,,
1.1,1024.0,c5.large,,,0.04250000063329935,,
1.2,1024.0,c5.large,,,0.0451562512665987,,
1.3,1024.0,c5.large,,,0.0478124987334013,,
1.4,1024.0,c5.large,,,0.05046874936670065,,
1.5,1024.0,c5.large,,,0.053125,,
1.7,1024.0,c5.large,,,0.058437501266598704,,
0.1,256.0,r5.large,,,0.005167968808673322,,
0.2,256.0,r5.large,,,0.009105468867346644,,
0.3,256.0,r5.large,,,0.013042969219386578,,
0.4,256.0,r5.large,,,0.01698046898469329,,
0.5,256.0,r5.large,,,0.02091796875,,
0.6,256.0,r5.large,,,0.024855469688773158,,
0.7,256.0,r5.large,,,0.028792968280613424,,
0.9,256.0,r5.large,,,0.036667967811226845,,
1.0,256.0,r5.large,,,0.04060546875,,
1.1,256.0,r5.large,,,0.04454296968877315,,
1.2,256.0,r5.large,,,0.04848047062754631,,
1.4,256.0,r5.large,,,0.05635546781122684,,
1.5,256.0,r5.large,,,0.06029296875,,
1.6,256.0,r5.large,,,0.06423046968877316,,
1.7,256.0,r5.large,,,0.06816797062754631,,
0.1,512.0,r5.large,,,0.006398437558673323,,
0.2,512.0,r5.large,,,0.010335937617346644,,
0.3,512.0,r5.large,,,0.014273437969386578,,
0.4,512.0,r5.large,,,0.01821093773469329,,
0.5,512.0,r5.large,,,0.0221484375,,
0.7,512.0,r5.large,,,0.03002343703061342,,
0.8,512.0,r5.large,,,0.03396093796938658,,
0.9,512.0,r5.large,,,0.03789843656122685,,
1.0,512.0,r5.large,,,0.0418359375,,
1.1,512.0,r5.large,,,0.045773438438773156,,
1.2,512.0,r5.large,,,0.049710939377546316,,
1.3,512.0,r5.large,,,0.053648435622453694,,
1.4,512.0,r5.large,,,0.05758593656122685,,
1.5,512.0,r5.large,,,0.06152343750000001,,
1.6,512.0,r5.large,,,0.06546093843877315,,
0.1,768.0,r5.large,,,0.0076289063086733225,,
0.2,768.0,r5.large,,,0.011566406367346644,,
0.3,768.0,r5.large,,,0.01550390671938658,,
0.4,768.0,r5.large,,,0.01944140648469329,,
0.5,768.0,r5.large,,,0.02337890625,,
0.6,768.0,r5.large,,,0.027316407188773158,,
0.7,768.0,r5.large,,,0.03125390578061342,,
0.8,768.0,r5.large,,,0.03519140671938658,,
0.9,768.0,r5.large,,,0.03912890531122685,,
1.0,768.0,r5.large,,,0.04306640625,,
1.3,768.0,r5.large,,,0.05487890437245369,,
1.4,768.0,r5.large,,,0.058816405311226845,,
1.5,768.0,r5.large,,,0.06275390625,,
1.6,768.0,r5.large,,,0.06669140718877316,,
1.7,768.0,r5.large,,,0.07062890812754631,,
0.1,1024.0,r5.large,,,0.008859375058673322,,
0.2,1024.0,r5.large,,,0.012796875117346646,,
0.3,1024.0,r5.large,,,0.016734375469386577,,
0.4,1024.0,r5.large,,,0.02067187523469329,,
0.5,1024.0,r5.large,,,0.024609375,,
0.6,1024.0,r5.large,,,0.028546875938773156,,
0.7,1024.0,r5.large,,,0.032484374530613425,,
0.8,1024.0,r5.large,,,0.03642187546938658,,
0.9,1024.0,r5.large,,,0.040359374061226846,,
1.1,1024.0,r5.large,,,0.04823437593877315,,
1.2,1024.0,r5.large,,,0.05217187687754631,,
1.3,1024.0,r5.large,,,0.05610937312245369,,
1.4,1024.0,r5.large,,,0.06004687406122684,,
1.5,1024.0,r5.large,,,0.06398437500000001,,
1.6,1024.0,r5.large,,,0.06792187593877316,,
1.7,1024.0,r5.large,,,0.07185937687754632,,
0.1,256.0,c7g.large,,,0.005083593783667311,,
0.2,256.0,c7g.large,,,0.007342968817334622,,
0.6,256.0,c7g.large,,,0.016380469288676976,,
1.2,256.0,c7g.large,,,0.029936719827353953,,
1.6,256.0,c7g.large,,,0.038974219288676976,,
1.7,256.0,c7g.large,,,0.041233594827353955,,
0.1,512.0,c7g.large,,,0.00790781253366731,,
0.3,512.0,c7g.large,,,0.012426562769338487,,
0.6,512.0,c7g.large,,,0.019204688038676976,,
0.8,512.0,c7g.large,,,0.023723437769338485,,
1.0,512.0,c7g.large,,,0.028242187499999998,,
1.3,512.0,c7g.large,,,0.03502031142264605,,
1.4,512.0,c7g.large,,,0.03727968696132302,,
1.5,512.0,c7g.large,,,0.0395390625,,
1.6,512.0,c7g.large,,,0.04179843803867697,,
1.7,512.0,c7g.large,,,0.04405781357735395,,
0.1,768.0,c7g.large,,,0.010732031283667311,,
0.2,768.0,c7g.large,,,0.012991406317334621,,
0.4,768.0,c7g.large,,,0.017510156384669243,,
0.5,768.0,c7g.large,,,0.01976953125,,
0.6,768.0,c7g.large,,,0.02202890678867698,,
0.7,768.0,c7g.large,,,0.024288280980661513,,
0.8,768.0,c7g.large,,,0.026547656519338485,,
0.9,768.0,c7g.large,,,0.028807030711323026,,
1.0,768.0,c7g.large,,,0.031066406249999998,,
1.1,768.0,c7g.large,,,0.03332578178867698,,
1.2,768.0,c7g.large,,,0.035585157327353956,,
1.3,768.0,c7g.large,,,0.037844530172646045,,
1.4,768.0,c7g.large,,,0.040103905711323024,,
1.5,768.0,c7g.large,,,0.04236328125,,
1.6,768.0,c7g.large,,,0.044622656788676975,,
0.1,1024.0,c7g.large,,,0.01355625003366731,,
0.2,1024.0,c7g.large,,,0.01581562506733462,,
0.3,1024.0,c7g.large,,,0.01807500026933849,,
0.4,1024.0,c7g.large,,,0.020334375134669243,,
0.5,1024.0,c7g.large,,,0.02259375,,
0.7,1024.0,c7g.large,,,0.02711249973066151,,
0.9,1024.0,c7g.large,,,0.03163124946132302,,
1.0,1024.0,c7g.large,,,0.033890625,,
1.1,1024.0,c7g.large,,,0.03615000053867697,,
1.2,1024.0,c7g.large,,,0.03840937607735395,,
1.3,1024.0,c7g.large,,,0.04066874892264605,,
1.4,1024.0,c7g.large,,,0.04292812446132302,,
1.5,1024.0,c7g.large,,,0.0451875,,
1.6,1024.0,c7g.large,,,0.04744687553867697,,
1.7,1024.0,c7g.large,,,0.04970625107735395,,
0.1,256.0,m5.large,,,0.004875000044703483,,
0.2,256.0,m5.large,,,0.007875000089406968,,
0.3,256.0,m5.large,,,0.010875000357627868,,
0.4,256.0,m5.large,,,0.013875000178813934,,
0.5,256.0,m5.large,,,0.016875,,
0.6,256.0,m5.large,,,0.019875000715255733,,
0.7,256.0,m5.large,,,0.022874999642372128,,
0.8,256.0,m5.large,,,0.025875000357627867,,
0.9,256.0,m5.large,,,0.02887499928474426,,
1.0,256.0,m5.large,,,0.031875,,
1.1,256.0,m5.large,,,0.03487500071525574,,
1.4,256.0,m5.large,,,0.04387499928474426,,
1.5,256.0,m5.large,,,0.046875,,
1.7,256.0,m5.large,,,0.05287500143051147,,
0.1,512.0,m5.large,,,0.006750000044703483,,
0.3,512.0,m5.large,,,0.012750000357627867,,
0.4,512.0,m5.large,,,0.015750000178813936,,
0.5,512.0,m5.large,,,0.01875,,
0.6,512.0,m5.large,,,0.021750000715255735,,
0.7,512.0,m5.large,,,0.02474999964237213,,
0.8,512.0,m5.large,,,0.02775000035762787,,
0.9,512.0,m5.large,,,0.030749999284744263,,
1.0,512.0,m5.large,,,0.03375,,
1.1,512.0,m5.large,,,0.036750000715255735,,
1.3,512.0,m5.large,,,0.04274999856948852,,
1.4,512.0,m5.large,,,0.045749999284744255,,
1.5,512.0,m5.large,,,0.04875,,
1.6,512.0,m5.large,,,0.051750000715255734,,
1.7,512.0,m5.large,,,0.054750001430511466,,
0.1,768.0,m5.large,,,0.008625000044703483,,
0.2,768.0,m5.large,,,0.011625000089406968,,
0.3,768.0,m5.large,,,0.014625000357627867,,
0.4,768.0,m5.large,,,0.017625000178813934,,
0.5,768.0,m5.large,,,0.020624999999999998,,
0.6,768.0,m5.large,,,0.023625000715255737,,
0.7,768.0,m5.large,,,0.02662499964237213,,
0.9,768.0,m5.large,,,0.032624999284744265,,
1.0,768.0,m5.large,,,0.035625,,
1.2,768.0,m5.large,,,0.04162500143051147,,
1.3,768.0,m5.large,,,0.044624998569488525,,
1.4,768.0,m5.large,,,0.04762499928474426,,
1.5,768.0,m5.large,,,0.050624999999999996,,
1.6,768.0,m5.large,,,0.053625000715255736,,
1.7,768.0,m5.large,,,0.05662500143051147,,
0.1,1024.0,m5.large,,,0.010500000044703483,,
0.2,1024.0,m5.large,,,0.013500000089406966,,
0.3,1024.0,m5.large,,,0.016500000357627866,,
0.4,1024.0,m5.large,,,0.019500000178813932,,
0.5,1024.0,m5.large,,,0.0225,,
0.6,1024.0,m5.large,,,0.025500000715255735,,
0.8,1024.0,m5.large,,,0.03150000035762787,,
0.9,1024.0,m5.large,,,0.03449999928474426,,
1.0,1024.0,m5.large,,,0.0375,,
1.1,1024.0,m5.large,,,0.04050000071525574,,
1.2,1024.0,m5.large,,,0.04350000143051147,,
1.3,1024.0,m5.large,,,0.046499998569488527,,
1.4,1024.0,m5.large,,,0.04949999928474426,,
1.5,1024.0,m5.large,,,0.0525,,
1.6,1024.0,m5.large,,,0.05550000071525574,,
1.7,1024.0,m5.large,,,0.05850000143051147,,
